#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|       /data/sut_b_isolation.bin|  6.31e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.36843280|  PASSED  
# The file file_input_raw was rewound 105 times
      rgb_lagged_sum|  20|   1000000|     100|0.75541743|  PASSED  
# The file file_input_raw was rewound 113 times
      rgb_lagged_sum|  21|   1000000|     100|0.94929716|  PASSED  
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  22|   1000000|     100|0.74290017|  PASSED  
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|  23|   1000000|     100|0.86699015|  PASSED  
# The file file_input_raw was rewound 140 times
      rgb_lagged_sum|  24|   1000000|     100|0.99965587|   WEAK   
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  25|   1000000|     100|0.18157708|  PASSED  
# The file file_input_raw was rewound 159 times
      rgb_lagged_sum|  26|   1000000|     100|0.09768564|  PASSED  
# The file file_input_raw was rewound 170 times
      rgb_lagged_sum|  27|   1000000|     100|0.52451904|  PASSED  
# The file file_input_raw was rewound 181 times
      rgb_lagged_sum|  28|   1000000|     100|0.17236569|  PASSED  
# The file file_input_raw was rewound 192 times
      rgb_lagged_sum|  29|   1000000|     100|0.91437193|  PASSED  
# The file file_input_raw was rewound 203 times
      rgb_lagged_sum|  30|   1000000|     100|0.02856398|  PASSED  
# The file file_input_raw was rewound 215 times
      rgb_lagged_sum|  31|   1000000|     100|0.00045400|   WEAK   
# The file file_input_raw was rewound 228 times
      rgb_lagged_sum|  32|   1000000|     100|0.87849418|  PASSED  
# The file file_input_raw was rewound 228 times
     rgb_kstest_test|   0|     10000|    1000|0.87928939|  PASSED  
# The file file_input_raw was rewound 228 times
     dab_bytedistrib|   0|  51200000|       1|0.77440943|  PASSED  
# The file file_input_raw was rewound 228 times
             dab_dct| 256|     50000|       1|0.21822918|  PASSED  
# The file file_input_raw was rewound 229 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.45871933|  PASSED  
        dab_filltree|  32|  15000000|       1|0.46211518|  PASSED  
# The file file_input_raw was rewound 229 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.16141898|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.68601197|  PASSED  
# The file file_input_raw was rewound 229 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.76239080|  PASSED  
